route,origin,destination,days_to_departure,flight_class,price_pkr,total_seats,booked_seats,remaining_seats
LHE-ISB,Lahore,Islamabad,69,Business,27169.49,180,98,82
LHE-ISB,Lahore,Islamabad,65,Business,26007.52,180,105,75
LHE-ISB,Lahore,Islamabad,17,Business,31122.85,180,117,63
KHI-ISB,Karachi,Islamabad,3,Business,33192.21,180,107,73
KHI-LHE,Karachi,Lahore,2,Business,35468.33,180,67,113
KHI-DXB,Karachi,Dubai,4,Business,102707.36,180,105,75
KHI-ISB,Karachi,Islamabad,1,Business,39052.39,180,108,72
KHI-DXB,Karachi,Dubai,11,Business,100226.78,180,111,69
KHI-PEW,Karachi,Peshawar,52,Business,40608.87,180,97,83
LHE-ISB,Lahore,Islamabad,34,Business,41458.56,180,116,64
LHE-ISB,Lahore,Islamabad,13,Business,46619.95,180,77,103
KHI-PEW,Karachi,Peshawar,29,Business,45598.5,180,59,121
KHI-ISB,Karachi,Islamabad,84,Business,47802.61,180,73,107
KHI-LHE,Karachi,Lahore,42,Business,48361.2,180,36,144
KHI-LHE,Karachi,Lahore,55,Business,47486.97,180,70,110
KHI-ISB,Karachi,Islamabad,12,Business,46394.67,180,82,98
KHI-DXB,Karachi,Dubai,12,Business,124115.18,180,107,73
KHI-ISB,Karachi,Islamabad,20,Business,48194.64,180,73,107
KHI-PEW,Karachi,Peshawar,48,Business,50388.48,180,118,62
LHE-ISB,Lahore,Islamabad,25,Business,51080.2,180,39,141
KHI-DXB,Karachi,Dubai,37,Business,137654.31,180,72,108
KHI-PEW,Karachi,Peshawar,47,Business,52984.87,180,66,114
KHI-DXB,Karachi,Dubai,33,Business,140588.88,180,73,107
LHE-ISB,Lahore,Islamabad,8,Business,56016.8,180,78,102
KHI-ISB,Karachi,Islamabad,54,Business,55836.42,180,48,132
KHI-ISB,Karachi,Islamabad,72,Business,58653.65,180,79,101
KHI-DXB,Karachi,Dubai,65,Business,147383.45,180,20,160
KHI-PEW,Karachi,Peshawar,29,Business,57166.97,180,90,90
KHI-DXB,Karachi,Dubai,87,Business,149021.39,180,27,153
KHI-DXB,Karachi,Dubai,67,Business,149571.33,180,38,142
KHI-LHE,Karachi,Lahore,28,Business,58377.56,180,89,91
KHI-LHE,Karachi,Lahore,40,Business,56942.78,180,31,149
KHI-LHE,Karachi,Lahore,67,Business,58554.71,180,52,128
KHI-ISB,Karachi,Islamabad,35,Business,61047.05,180,65,115
KHI-ISB,Karachi,Islamabad,3,Business,25934.01,180,157,23
KHI-DXB,Karachi,Dubai,41,Business,74294.26,180,98,82
LHE-ISB,Lahore,Islamabad,6,Business,26453.17,180,169,11
KHI-LHE,Karachi,Lahore,16,Business,27372.83,180,107,73
KHI-PEW,Karachi,Peshawar,77,Business,26651.37,180,138,42
KHI-PEW,Karachi,Peshawar,57,Business,25907.72,180,152,28
KHI-ISB,Karachi,Islamabad,83,Business,26051.05,180,134,46
KHI-ISB,Karachi,Islamabad,19,Business,27008.07,180,116,64
KHI-ISB,Karachi,Islamabad,39,Business,26048.85,180,93,87
KHI-PEW,Karachi,Peshawar,36,Business,29292.02,180,115,65
KHI-ISB,Karachi,Islamabad,15,Business,29160.61,180,119,61
KHI-PEW,Karachi,Peshawar,71,Business,28881.41,180,129,51
KHI-PEW,Karachi,Peshawar,76,Business,29193.63,180,127,53
KHI-LHE,Karachi,Lahore,33,Business,30678.78,180,140,40
KHI-DXB,Karachi,Dubai,29,Business,82572.8,180,93,87
KHI-ISB,Karachi,Islamabad,33,Business,29727.24,180,128,52
KHI-PEW,Karachi,Peshawar,20,Business,31621.77,180,102,78
KHI-PEW,Karachi,Peshawar,8,Business,29981.64,180,116,64
KHI-DXB,Karachi,Dubai,36,Business,88037.65,180,76,104
KHI-LHE,Karachi,Lahore,12,Business,33313.28,180,134,46
KHI-DXB,Karachi,Dubai,44,Business,85638.49,180,95,85
KHI-ISB,Karachi,Islamabad,36,Business,32632.59,180,125,55
LHE-ISB,Lahore,Islamabad,44,Business,33513.76,180,91,89
KHI-PEW,Karachi,Peshawar,23,Business,32504.91,180,73,107
KHI-LHE,Karachi,Lahore,31,Business,33845.61,180,157,23
KHI-LHE,Karachi,Lahore,20,Business,33449.28,180,152,28
KHI-LHE,Karachi,Lahore,58,Business,36121.01,180,72,108
LHE-ISB,Lahore,Islamabad,34,Business,36606.86,180,92,88
LHE-ISB,Lahore,Islamabad,26,Business,36503.15,180,67,113
KHI-LHE,Karachi,Lahore,7,Business,35623.81,180,78,102
KHI-ISB,Karachi,Islamabad,15,Business,36698.49,180,151,29
KHI-DXB,Karachi,Dubai,11,Business,97321.03,180,152,28
KHI-ISB,Karachi,Islamabad,5,Business,35681.87,180,116,64
KHI-ISB,Karachi,Islamabad,60,Business,35939.86,180,123,57
KHI-ISB,Karachi,Islamabad,43,Business,37316.42,180,129,51
LHE-ISB,Lahore,Islamabad,45,Business,38417.26,180,138,42
KHI-ISB,Karachi,Islamabad,14,Business,39957.74,180,120,60
LHE-ISB,Lahore,Islamabad,27,Business,38735.35,180,66,114
KHI-ISB,Karachi,Islamabad,23,Business,38756.56,180,65,115
KHI-PEW,Karachi,Peshawar,38,Business,39541.95,180,101,79
LHE-ISB,Lahore,Islamabad,32,Business,38382.6,180,140,40
KHI-DXB,Karachi,Dubai,10,Business,106232.16,180,92,88
KHI-ISB,Karachi,Islamabad,27,Business,42010.31,180,120,60
KHI-LHE,Karachi,Lahore,63,Business,45341.74,180,116,64
LHE-ISB,Lahore,Islamabad,24,Business,46197.32,180,107,73
KHI-PEW,Karachi,Peshawar,25,Business,47239.93,180,121,59
KHI-LHE,Karachi,Lahore,45,Business,47411.8,180,49,131
KHI-DXB,Karachi,Dubai,6,Business,115926.2,180,98,82
KHI-ISB,Karachi,Islamabad,56,Business,44697.99,180,113,67
LHE-ISB,Lahore,Islamabad,36,Business,49451.99,180,84,96
KHI-LHE,Karachi,Lahore,43,Business,49028.57,180,72,108
KHI-ISB,Karachi,Islamabad,7,Business,47270.71,180,99,81
KHI-LHE,Karachi,Lahore,30,Business,46145.3,180,60,120
KHI-ISB,Karachi,Islamabad,57,Business,46532.46,180,70,110
KHI-DXB,Karachi,Dubai,23,Business,117712.34,180,119,61
KHI-DXB,Karachi,Dubai,42,Business,126041.56,180,58,122
KHI-LHE,Karachi,Lahore,52,Business,46923.05,180,72,108
LHE-ISB,Lahore,Islamabad,12,Business,48390.2,180,108,72
KHI-DXB,Karachi,Dubai,70,Business,127954.52,180,72,108
KHI-LHE,Karachi,Lahore,47,Business,49101.82,180,88,92
KHI-PEW,Karachi,Peshawar,16,Business,50527.18,180,106,74
KHI-ISB,Karachi,Islamabad,31,Business,49490.12,180,117,63
KHI-LHE,Karachi,Lahore,76,Business,50384.59,180,99,81
KHI-ISB,Karachi,Islamabad,28,Business,47231.07,180,64,116
KHI-ISB,Karachi,Islamabad,32,Business,48206.23,180,38,142
KHI-PEW,Karachi,Peshawar,14,Business,50528.52,180,105,75
KHI-LHE,Karachi,Lahore,42,Business,47127.54,180,47,133
KHI-DXB,Karachi,Dubai,25,Business,126925.7,180,91,89
KHI-DXB,Karachi,Dubai,30,Business,125081.47,180,59,121
KHI-PEW,Karachi,Peshawar,23,Business,49758.9,180,64,116
KHI-DXB,Karachi,Dubai,16,Business,123998.4,180,106,74
KHI-LHE,Karachi,Lahore,56,Business,48457.06,180,70,110
KHI-LHE,Karachi,Lahore,19,Business,51537.57,180,103,77
LHE-ISB,Lahore,Islamabad,9,Business,54901.08,180,93,87
KHI-PEW,Karachi,Peshawar,35,Business,54389.5,180,96,84
KHI-ISB,Karachi,Islamabad,12,Business,52533.12,180,40,140
KHI-LHE,Karachi,Lahore,55,Business,54973.72,180,25,155
KHI-DXB,Karachi,Dubai,13,Business,134304.75,180,34,146
KHI-DXB,Karachi,Dubai,40,Business,134836.96,180,87,93
KHI-DXB,Karachi,Dubai,9,Business,137279.99,180,59,121
KHI-ISB,Karachi,Islamabad,9,Business,52516.11,180,95,85
KHI-ISB,Karachi,Islamabad,28,Business,53939.66,180,42,138
KHI-LHE,Karachi,Lahore,46,Business,52831.5,180,42,138
KHI-LHE,Karachi,Lahore,37,Business,54695.17,180,91,89
KHI-PEW,Karachi,Peshawar,60,Business,55076.21,180,24,156
KHI-PEW,Karachi,Peshawar,38,Business,59147.38,180,67,113
LHE-ISB,Lahore,Islamabad,11,Business,56925.26,180,82,98
KHI-ISB,Karachi,Islamabad,33,Business,60328.68,180,65,115
KHI-PEW,Karachi,Peshawar,51,Business,25669.06,180,89,91
KHI-PEW,Karachi,Peshawar,21,Business,25511.38,180,136,44
KHI-LHE,Karachi,Lahore,5,Business,26352.15,180,102,78
KHI-ISB,Karachi,Islamabad,39,Business,26485.47,180,150,30
KHI-ISB,Karachi,Islamabad,57,Business,25443.34,180,169,11
KHI-ISB,Karachi,Islamabad,21,Business,25598.12,180,108,72
KHI-PEW,Karachi,Peshawar,48,Business,25591.11,180,100,80
KHI-PEW,Karachi,Peshawar,14,Business,25618.39,180,87,93
KHI-DXB,Karachi,Dubai,24,Business,74653.02,180,169,11
KHI-PEW,Karachi,Peshawar,35,Business,26514.42,180,143,37
KHI-PEW,Karachi,Peshawar,21,Business,27165.64,180,170,10
LHE-ISB,Lahore,Islamabad,38,Business,27675.37,180,164,16
LHE-ISB,Lahore,Islamabad,65,Business,28060.95,180,157,23
KHI-ISB,Karachi,Islamabad,5,Business,27372.98,180,145,35
KHI-DXB,Karachi,Dubai,14,Business,75184.71,180,140,40
KHI-PEW,Karachi,Peshawar,85,Business,28382.29,180,121,59
KHI-LHE,Karachi,Lahore,21,Business,28455.13,180,124,56
KHI-PEW,Karachi,Peshawar,34,Business,28311.56,180,141,39
LHE-ISB,Lahore,Islamabad,28,Business,29721.91,180,135,45
