id,route,flight_class,days_to_departure,total_seats,booked_seats,remaining_seats,current_price,base_fare,booking_date,time_of_day,day_of_week,is_weekend,is_holiday_window,petrol_price,diesel_price,usd_to_pkr,competitor_min_price,competitor_avg_price,price_vs_competitor_ratio,competitor_data_is_real,demand_ratio
45001,KHI-PEW,Economy,29,180,173,7,8193.99,14966.173412276461,2026-07-01,1,3,0,0,344.86581971031876,389.35109909394976,271.50609460147024,,,,False,0.9611111111111111
45002,KHI-LHE,Economy,14,180,46,134,20298.55,14965.685953399905,2026-07-01,2,2,0,0,339.6935553532278,375.5215023355856,270.6168875148381,7485.0,8569.0,2.3688353366787256,True,0.25555555555555554
45003,KHI-LHE,Business,7,180,162,18,26925.07,42157.36867324561,2026-07-01,3,2,0,0,342.74537906956056,381.84554307711477,282.955342589868,7485.0,8569.0,3.1421484420585832,True,0.9
45004,KHI-DXB,Business,25,180,109,71,102983.85,110639.33540295118,2026-07-01,4,6,1,0,331.55860431221004,376.5844343074579,283.07165442229007,,,,False,0.6055555555555555
45005,KHI-DXB,Business,38,180,139,41,85703.51,110639.33540295118,2026-07-01,5,5,1,0,327.40235713628664,391.2128746444916,279.9968380676887,,,,False,0.7722222222222223
45006,LHE-ISB,Economy,57,180,124,56,16359.49,15096.179715825576,2026-07-01,6,3,0,1,333.19172802812557,386.77968517459954,279.8243293533963,,,,False,0.6888888888888889
45007,LHE-ISB,Economy,17,180,70,110,11707.66,15096.179715825576,2026-07-01,7,5,1,0,333.31469543930257,378.2347314400531,270.85118886927097,,,,False,0.3888888888888889
45008,KHI-LHE,Economy,34,180,126,54,15116.88,14965.685953399905,2026-07-01,8,1,0,0,334.1916644004392,374.5935583412181,277.1933736137103,7485.0,8569.0,1.7641358384875714,True,0.7
45009,KHI-ISB,Economy,45,180,66,114,13117.32,14814.069359582543,2026-07-01,9,5,1,1,342.76210040686493,376.5334786632397,286.9700039383072,7432.0,29077.333333333332,0.451118396918562,True,0.36666666666666664
45010,KHI-PEW,Business,18,180,86,94,42094.61,42737.64187978142,2026-07-01,10,6,1,0,345.155453031079,373.8320498401334,285.8625901901007,,,,False,0.4777777777777778
